TStates,Addr,WStates,OpType,IStates
4183,0x8008, ,RR,4
4187,0x8009, ,RR,4
4191,0x3F25, ,RN,1
4195,0x800A, ,RN,1
4196,0x800A, ,RN,1
4197,0x800A, ,RN,1
4198,0x800A, ,RN,1
4199,0x800A, ,RN,1
4200,0x8007, ,RR,4
4207,0x8008, ,RR,4
4211,0x8009, ,RR,4
4215,0x3F28, ,RN,1
4219,0x800A, ,RN,1
4220,0x800A, ,RN,1
4221,0x800A, ,RN,1
4222,0x800A, ,RN,1
4223,0x800A, ,RN,1
4224,0x8007, ,RR,4
4231,0x8008, ,RR,4
4235,0x8009, ,RR,4
4239,0x3F2B, ,RN,1
4243,0x800A, ,RN,1
4244,0x800A, ,RN,1
4245,0x800A, ,RN,1
4246,0x800A, ,RN,1
4247,0x800A, ,RN,1
4248,0x8007, ,RR,4
4255,0x8008, ,RR,4
4259,0x8009, ,RR,4
4263,0x3F2E, ,RN,1
4267,0x800A, ,RN,1
4268,0x800A, ,RN,1
4269,0x800A, ,RN,1
4270,0x800A, ,RN,1
4271,0x800A, ,RN,1
4272,0x8007, ,RR,4
4279,0x8008, ,RR,4
4283,0x8009, ,RR,4
4287,0x3F31, ,RN,1
4291,0x800A, ,RN,1
4292,0x800A, ,RN,1
4293,0x800A, ,RN,1
4294,0x800A, ,RN,1
4295,0x800A, ,RN,1
