TStates,Addr,WStates,OpType,IStates
2240,0x8007, ,RR,4
2247,0x8008, ,RR,4
2251,0x8009, ,RR,4
2255,0x3F32, ,RN,1
2259,0x800A, ,RN,1
2260,0x800A, ,RN,1
2261,0x800A, ,RN,1
2262,0x800A, ,RN,1
2263,0x800A, ,RN,1
2264,0x8007, ,RR,4
2271,0x8008, ,RR,4
2275,0x8009, ,RR,4
2279,0x3F35, ,RN,1
2283,0x800A, ,RN,1
2284,0x800A, ,RN,1
2285,0x800A, ,RN,1
2286,0x800A, ,RN,1
2287,0x800A, ,RN,1
2288,0x8007, ,RR,4
2295,0x8008, ,RR,4
2299,0x8009, ,RR,4
2303,0x3F38, ,RN,1
2307,0x800A, ,RN,1
2308,0x800A, ,RN,1
2309,0x800A, ,RN,1
2310,0x800A, ,RN,1
2311,0x800A, ,RN,1
2312,0x8007, ,RR,4
2319,0x8008, ,RR,4
2323,0x8009, ,RR,4
2327,0x3F3B, ,RN,1
2331,0x800A, ,RN,1
2332,0x800A, ,RN,1
2333,0x800A, ,RN,1
2334,0x800A, ,RN,1
2335,0x800A, ,RN,1
2336,0x8007, ,RR,4
2343,0x8008, ,RR,4
2347,0x8009, ,RR,4
2351,0x3F3E, ,RN,1
2355,0x800A, ,RN,1
2356,0x800A, ,RN,1
2357,0x800A, ,RN,1
2358,0x800A, ,RN,1
2359,0x800A, ,RN,1
2360,0x8007, ,RR,4
2367,0x8008, ,RR,4
2371,0x8009, ,RR,4
2375,0x3F41, ,RN,1
2379,0x800A, ,RN,1
2380,0x800A, ,RN,1
2381,0x800A, ,RN,1
2382,0x800A, ,RN,1
2383,0x800A, ,RN,1
2384,0x8007, ,RR,4
2391,0x8008, ,RR,4
2395,0x8009, ,RR,4
2399,0x3F44, ,RN,1
2403,0x800A, ,RN,1
2404,0x800A, ,RN,1
2405,0x800A, ,RN,1
2406,0x800A, ,RN,1
2407,0x800A, ,RN,1
2408,0x8007, ,RR,4
2415,0x8008, ,RR,4
2419,0x8009, ,RR,4
2423,0x3F47, ,RN,1
