TStates,Addr,WStates,OpType,IStates
0,0x72, 
0,0x73, 
0,0x9CFC, 
0,0x9CFD, 
14,0x87AB, 
14,0x87AC, 
14,0x6DB3, 
14,0x4DB3, 
35,0x87AB, 
35,0x87AC, 
35,0x6DB4, 
35,0x4DB4, 
56,0x87AB, 
56,0x87AC, 
56,0x6DB5, 
56,0x4DB5, 
77,0x87AB, 
77,0x87AC, 
77,0x6DB6, 
77,0x4DB6, 
98,0x87AB, 
98,0x87AC, 
98,0x6DB7, 
98,0x4DB7, 
119,0x87AB, 
119,0x87AC, 
119,0x6DB8, 
119,0x4DB8, 
140,0x87AB, 
140,0x87AC, 
140,0x6DB9, 
140,0x4DB9, 
161,0x87AB, 
161,0x87AC, 
161,0x6DBA, 
161,0x4DBA, 
182,0x87AB, 
182,0x87AC, 
182,0x6DBB, 
182,0x4DBB, 
203,0x87AB, 
203,0x87AC, 
203,0x6DBC, 
203,0x4DBC, 
224,0x87AB, 
224,0x87AC, 
224,0x6DBD, 
224,0x4DBD, 
245,0x87AB, 
245,0x87AC, 
245,0x6DBE, 
245,0x4DBE, 
266,0x87AB, 
266,0x87AC, 
266,0x6DBF, 
266,0x4DBF, 
287,0x87AB, 
287,0x87AC, 
287,0x6DC0, 
287,0x4DC0, 
308,0x87AB, 
308,0x87AC, 
308,0x6DC1, 
308,0x4DC1, 
329,0x87AB, 
329,0x87AC, 
329,0x6DC2, 
329,0x4DC2, 
350,0x87AB, 
350,0x87AC, 
350,0x6DC3, 
350,0x4DC3, 
371,0x87AB, 
371,0x87AC, 
371,0x6DC4, 
371,0x4DC4, 
392,0x87AB, 
392,0x87AC, 
392,0x6DC5, 
392,0x4DC5, 
413,0x87AB, 
413,0x87AC, 
413,0x6DC6, 
413,0x4DC6, 
434,0x87AB, 
434,0x87AC, 
434,0x6DC7, 
434,0x4DC7, 
455,0x87AB, 
455,0x87AC, 
455,0x6DC8, 
455,0x4DC8, 
476,0x87AB, 
476,0x87AC, 
476,0x6DC9, 
476,0x4DC9, 
497,0x87AB, 
497,0x87AC, 
497,0x6DCA, 
497,0x4DCA, 
518,0x87AB, 
518,0x87AC, 
518,0x6DCB, 
518,0x4DCB, 
539,0x87AB, 
539,0x87AC, 
539,0x6DCC, 
539,0x4DCC, 
560,0x87AB, 
560,0x87AC, 
560,0x6DCD, 
560,0x4DCD, 
581,0x87AB, 
581,0x87AC, 
581,0x6DCE, 
581,0x4DCE, 
602,0x87AB, 
602,0x87AC, 
602,0x6DCF, 
602,0x4DCF, 
623,0x87AB, 
623,0x87AC, 
623,0x6DD0, 
623,0x4DD0, 
644,0x87AB, 
644,0x87AC, 
644,0x6DD1, 
644,0x4DD1, 
665,0x87AB, 
665,0x87AC, 
665,0x6DD2, 
665,0x4DD2, 
686,0x87AB, 
686,0x87AC, 
686,0x6DD3, 
686,0x4DD3, 
707,0x87AB, 
707,0x87AC, 
707,0x6DD4, 
