TStates,Addr,WStates,OpType,IStates
483,0x4DC9, ,WN,1
484,0x4DC9, ,WN,1
485,0x4DC9, ,WN,1
486,0x4DC9, ,WN,1
487,0x4DC9, ,WN,1
488,0x4DC9, ,WN,1
489,0x87AB, ,RR,4
493,0x87AC, ,RR,4
503,0x4DCA, ,WN,1
504,0x4DCA, ,WN,1
505,0x4DCA, ,WN,1
506,0x4DCA, ,WN,1
507,0x4DCA, ,WN,1
508,0x4DCA, ,WN,1
509,0x4DCA, ,WN,1
510,0x87AB, ,RR,4
514,0x87AC, ,RR,4
524,0x4DCB, ,WN,1
525,0x4DCB, ,WN,1
526,0x4DCB, ,WN,1
527,0x4DCB, ,WN,1
528,0x4DCB, ,WN,1
529,0x4DCB, ,WN,1
530,0x4DCB, ,WN,1
531,0x87AB, ,RR,4
535,0x87AC, ,RR,4
545,0x4DCC, ,WN,1
546,0x4DCC, ,WN,1
547,0x4DCC, ,WN,1
548,0x4DCC, ,WN,1
549,0x4DCC, ,WN,1
550,0x4DCC, ,WN,1
551,0x4DCC, ,WN,1
552,0x87AB, ,RR,4
556,0x87AC, ,RR,4
566,0x4DCD, ,WN,1
567,0x4DCD, ,WN,1
568,0x4DCD, ,WN,1
569,0x4DCD, ,WN,1
570,0x4DCD, ,WN,1
571,0x4DCD, ,WN,1
572,0x4DCD, ,WN,1
573,0x87AB, ,RR,4
577,0x87AC, ,RR,4
587,0x4DCE, ,WN,1
588,0x4DCE, ,WN,1
589,0x4DCE, ,WN,1
590,0x4DCE, ,WN,1
591,0x4DCE, ,WN,1
592,0x4DCE, ,WN,1
593,0x4DCE, ,WN,1
594,0x87AB, ,RR,4
598,0x87AC, ,RR,4
608,0x4DCF, ,WN,1
609,0x4DCF, ,WN,1
610,0x4DCF, ,WN,1
611,0x4DCF, ,WN,1
612,0x4DCF, ,WN,1
613,0x4DCF, ,WN,1
614,0x4DCF, ,WN,1
615,0x87AB, ,RR,4
619,0x87AC, ,RR,4
629,0x4DD0, ,WN,1
630,0x4DD0, ,WN,1
631,0x4DD0, ,WN,1
632,0x4DD0, ,WN,1
633,0x4DD0, ,WN,1
634,0x4DD0, ,WN,1
635,0x4DD0, ,WN,1
636,0x87AB, ,RR,4
640,0x87AC, ,RR,4
650,0x4DD1, ,WN,1
651,0x4DD1, ,WN,1
652,0x4DD1, ,WN,1
653,0x4DD1, ,WN,1
654,0x4DD1, ,WN,1
655,0x4DD1, ,WN,1
656,0x4DD1, ,WN,1
657,0x87AB, ,RR,4
661,0x87AC, ,RR,4
671,0x4DD2, ,WN,1
672,0x4DD2, ,WN,1
673,0x4DD2, ,WN,1
674,0x4DD2, ,WN,1
675,0x4DD2, ,WN,1
